workerid,anon_workerid
A29AKJXQ248KNK,0
A2M3FPQF852HW4,1
A2QPQ7UNBBQYIE,2
A1L3937MY09J3I,3
A18T7E73TNGOKP,4
A35E13N364UR8Q,5
A3F51C49T9A34D,6
AOQZ2B7YSZVQ3,7
AG65WIWVFTANP,8
AAIQLE701DI9U,9
A17U82YPDOT3CW,10
A27AK750Y9M9KH,11
AA5JX15B6CHPD,12
A2AGQGMZVSZVUJ,13
A3RLDROGYUMEVZ,14
A2A6FH0F7LD9ND,15
A2T1LNI80EPOQR,16
A823TE3Y6RU0L,17
A1AFYCDF0XTXC9,18
A3DUPRZSMU9W5R,19
A35OK0Z17UON6I,20
A2VNSNAN1LZBAM,21
A2KBTDHM44J7X4,22
A2WPKP73S4MBLK,23
A3JZLYQ606HJJR,24
A2KYOM2ZGYDJGT,25
A3GM1ALJEW98WN,26
A19ZWBQT8A3LIR,27
A377LTGWJKY2IW,28
A1ZD8RU6YB0VEU,29
A2N825X4R5H7EK,30
AAASQIW3J32OL,31
AKPDC7AQY7M24,32
A2QMHQXR8K4VJ2,33
A11EL5LWS2L1HX,34
A31A4YKVSOYRVS,35
A3UN1F1EOHKKE6,36
AE63GABJL0FGJ,37
A1XUVKE00M0CRQ,38
ARI1EMAHUA9PO,39
AK3H5QRAROFGP,40
A3CIWKPD7Y6NFG,41
A25FH7PXC446RG,42
A22I5RTLJTY3JZ,43
A275V9CR5L5ET2,44
AIUKV0KVALMY6,45
A1OQIXAU1SEJ4P,46
A2K9PB0U45O0MU,47
A2EPBSY0VPI38S,48
A240OTT1T85UGT,49
