,response,noun,gender,nounclass,predicate1,predicate1English,predicate2,predicate2English,class1,class2,slide_number,condition,assess,age,education,language,region,dialect,enjoyment,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id
0,0.61,ventilatore,Male,furniture,duro,hard,francese,French,texture,nationality,3,ANA,Confused,123,0,GREG,region,dialect,1,GREG 0,Safari,Mac,1440,2560,0.4013833333333333,1
1,0.32,banana,Male,food,verde,green,francese,French,color,nationality,4,ANA,Confused,123,0,GREG,region,dialect,1,GREG 0,Safari,Mac,1440,2560,0.4013833333333333,1
2,0.67,televisore,Male,furniture,lungo,long,cattivo,bad,size,quality,5,ANA,Confused,123,0,GREG,region,dialect,1,GREG 0,Safari,Mac,1440,2560,0.4013833333333333,1
3,0.39,formaggio,Male,food,marcio,rotten,corto,short,age,size,6,NAA,Confused,123,0,GREG,region,dialect,1,GREG 0,Safari,Mac,1440,2560,0.4013833333333333,1
0,0.72,televisore,,furniture,tedesco,German,rosso,red,nationality,color,3,NAA,,,-1,GREG,,,-1,GREG 1,Safari,Mac,1440,2560,0.2869833333333333,2
1,0.12,sedia,,furniture,marcio,rotten,rotondo,round,age,shape,4,ANA,,,-1,GREG,,,-1,GREG 1,Safari,Mac,1440,2560,0.2869833333333333,2
2,0.89,televisore,,furniture,gigantesco,huge,quadrato,square,size,shape,5,AAN,,,-1,GREG,,,-1,GREG 1,Safari,Mac,1440,2560,0.2869833333333333,2
3,0.34,divano,,furniture,tedesco,German,morbido,soft,nationality,texture,6,ANA,,,-1,GREG,,,-1,GREG 1,Safari,Mac,1440,2560,0.2869833333333333,2
4,0.57,scrivania,,furniture,lungo,long,viola,purple,size,color,7,NAA,,,-1,GREG,,,-1,GREG 1,Safari,Mac,1440,2560,0.2869833333333333,2
0,0.64,banana,Female,food,verde,green,duro,hard,color,texture,3,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
1,0.28,mela,Female,food,morbido,soft,gigantesco,huge,texture,size,4,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
2,0.88,carota,Female,food,quadrato,square,marcio,rotten,shape,age,5,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
3,0.4,banana,Female,food,cattivo,bad,fresco,fresh,quality,age,6,NAA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
4,0.61,pomodoro,Female,food,rotondo,round,tedesco,German,shape,nationality,7,NAA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
5,0.29,mela,Female,food,liscio,smooth,cattivo,bad,texture,quality,8,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
6,0.64,sedia,Female,furniture,francese,French,marrone,brown,nationality,color,9,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
7,0.37,sedia,Female,furniture,corto,short,marrone,brown,size,color,10,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
8,0.56,mela,Female,food,blu,blue,polacco,Polish,color,nationality,11,NAA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
9,0.69,mela,Female,food,blu,blue,grande,big,color,size,12,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
10,0.26,divano,Female,furniture,morbido,soft,marcio,rotten,texture,age,13,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
11,0.7,televisore,Female,furniture,marrone,brown,cattivo,bad,color,quality,14,NAA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
12,0.45,scrivania,Female,furniture,vecchio,old,grande,big,age,size,15,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
13,0.61,divano,Female,furniture,grande,big,cattivo,bad,size,quality,16,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
14,0.32,divano,Female,furniture,minuscolo,tiny,nuovo,new,size,age,17,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
15,0.65,mela,Female,food,blu,blue,piccolo,small,color,size,18,NAA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
16,0.33,formaggio,Female,food,cattivo,bad,gigantesco,huge,quality,size,19,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
17,0.72,sedia,Female,furniture,polacco,Polish,marcio,rotten,nationality,age,20,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
18,0.46,banana,Female,food,marcio,rotten,quadrato,square,age,shape,21,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
19,0.72,ventilatore,Female,furniture,rotondo,round,grande,big,shape,size,22,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
20,0.33,formaggio,Female,food,morbido,soft,piccolo,small,texture,size,23,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
21,0.53,carota,Female,food,fantastico,wonderful,marrone,brown,quality,color,24,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
22,0.62,sedia,Female,furniture,polacco,Polish,lungo,long,nationality,size,25,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
23,0.36,scrivania,Female,furniture,vecchio,old,fantastico,wonderful,age,quality,26,ANA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
24,0.62,divano,Female,furniture,nuovo,new,gigantesco,huge,age,size,27,AAN,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
25,0.46,televisore,Female,furniture,nuovo,new,blu,blue,age,color,28,NAA,Yes,GREG,0,GREG,region,dialect,0,GREG2,Safari,Mac,1440,2560,0.9365,3
0,0.95,divano,,furniture,rosso,red,piccolo,small,color,size,3,ANA,,,-1,GREG,,,-1,GREG3,Safari,Mac,1440,2560,1.5242833333333334,4
1,0.08,formaggio,,food,duro,hard,marrone,brown,texture,color,4,ANA,,,-1,GREG,,,-1,GREG3,Safari,Mac,1440,2560,1.5242833333333334,4
2,0.92,sedia,,furniture,francese,French,viola,purple,nationality,color,5,AAN,,,-1,GREG,,,-1,GREG3,Safari,Mac,1440,2560,1.5242833333333334,4
3,0.1,carota,,food,giallo,yellow,corto,short,color,size,6,AAN,,,-1,GREG,,,-1,GREG3,Safari,Mac,1440,2560,1.5242833333333334,4
4,0.09,carota,,food,gigantesco,huge,duro,hard,size,texture,7,NAA,,,-1,GREG,,,-1,GREG3,Safari,Mac,1440,2560,1.5242833333333334,4
0,1.0,televisore,Female,furniture,grande,big,marrone,brown,size,color,3,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
1,0.49,pomodoro,Female,food,fantastico,wonderful,gigantesco,huge,quality,size,4,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
2,0.51,televisore,Female,furniture,gigantesco,huge,marcio,rotten,size,age,5,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
3,0.66,divano,Female,furniture,duro,hard,cattivo,bad,texture,quality,6,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
4,0.5,televisore,Female,furniture,liscio,smooth,marcio,rotten,texture,age,7,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
5,1.0,pomodoro,Female,food,marcio,rotten,rotondo,round,age,shape,8,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
6,0.44,pomodoro,Female,food,vecchio,old,piccolo,small,age,size,9,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
7,1.0,mela,Female,food,minuscolo,tiny,nuovo,new,size,age,10,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
8,1.0,mela,Female,food,morbido,soft,viola,purple,texture,color,11,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
9,0.02,banana,Female,food,corto,short,nuovo,new,size,age,12,AAN,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
10,1.0,banana,Female,food,piccolo,small,duro,hard,size,texture,13,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
11,0.56,televisore,Female,furniture,vecchio,old,corto,short,age,size,14,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
12,0.76,carota,Female,food,rosso,red,lungo,long,color,size,15,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
